"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","ZE01","ZE04","Time_sum_m","IS_mean","IS_K_mean","IS_E_mean","CPE_mean","CPE_C_mean","CPE_I_mean","CPE_M_mean","CPE_E_mean","PS_mean","OC_A_mean","QQ_Anand_mean","QQ_Eigene_mean","QQ_Gesamt_mean","SL_mean"
"99",99,33,1,6,NA,9,2,40,5,1,5,1,1,12.3666666666667,1.75,2.5,1,5.75,6.25,6,4.75,6,6.42857142857143,4.6,1,1.5,1.23076923076923,6.28571428571429
"100",100,31,2,4,NA,5.08333333333333,2,31,2,1,3,1,1,12.2,2.75,2.75,2.75,6.4375,6.75,7,6.5,5.5,7,3.8,1.85714285714286,2.33333333333333,2.07692307692308,5
"101",101,51,1,6,NA,29.0833333333333,2,39,5,2,2,1,1,9.51666666666667,1.5,1.5,1.5,5.375,5.5,6,5,5,5.85714285714286,4.8,1.14285714285714,1.66666666666667,1.38461538461538,5.71428571428571
"102",102,46,2,2,NA,30.3333333333333,2,20,2,1,3,1,1,7.3,4.375,4,4.75,5.125,6,5.25,4.75,4.5,4.85714285714286,4,2.28571428571429,2.66666666666667,2.46153846153846,5
"103",103,35,1,6,NA,3.41666666666667,2,35,4,1,2,1,1,8.51666666666667,4.5,5.25,3.75,4.5,4.75,4.5,4.5,4.25,4.42857142857143,2.4,3.14285714285714,2.16666666666667,2.69230769230769,4
"104",104,55,2,5,NA,12.6666666666667,2,25,2,1,2,1,1,13.75,2.5,3.25,1.75,5.6875,5.75,6.25,5.5,5.25,6.28571428571429,4,2,1.66666666666667,1.84615384615385,4.28571428571429
"105",105,31,1,2,NA,1.5,2,39,NA,1,1,1,1,9.13333333333333,2.5,2.5,2.5,4.25,4,4,4.25,4.75,5.28571428571429,3.2,2.57142857142857,2.5,2.53846153846154,4
"106",106,32,1,6,NA,9.66666666666667,2,40,3,2,1,1,1,7.88333333333333,4,3.25,4.75,4.375,4.75,4.75,3.5,4.5,3.28571428571429,2.2,2.42857142857143,2.5,2.46153846153846,3.85714285714286
"107",107,53,2,9,"Staatsexamen jur.",6.41666666666667,2,31,3,1,6,1,1,11.7833333333333,5.375,5.25,5.5,3.5,3.75,4.25,3,3,6.42857142857143,3.4,2,2.83333333333333,2.38461538461538,4.28571428571429
"108",108,29,2,5,NA,12.75,2,40,4,2,1,1,1,6.18333333333333,7,7,7,1.1875,1,1.75,1,1,2.57142857142857,1.8,2.14285714285714,2.66666666666667,2.38461538461538,1
