"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","IS_K01","IS_K02","IS_K03","IS_K04","IS_E05","IS_E06","IS_E07","IS_E08","OC_A01","OC_A02","OC_A03","OC_A04","OC_A05","CPE_C01","CPE_C02","CPE_C03","CPE_C04","CPE_I05","CPE_I06","CPE_I07","CPE_I08","CPE_M09","CPE_M10","CPE_M11","CPE_M12","CPE_E13","CPE_E14","CPE_E15","CPE_E16","PS_01","PS_02","PS_03","PS_04","PS_05","PS_06","PS_07","QQ_01","QQ_02","QQ_03","QQ_04","QQ_05","QQ_06","QQ_07","QQ_N08","QQ_N09","QQ_N10","QQ_N11","QQ_N12","QQ_N13","QQ_N14","SL_01","SL_02","SL_03","SL_04","SL_05","SL_06","SL_07","ZE01","ZE04","TIME_SUM","TIME_RSI","Time_sum_m"
"31",31,27,2,5,NA,8.66666666666667,2,40,3,1,1,2,2,1,1,1,2,2,1,5,4,5,5,4,5,6,6,6,6,5,6,4,4,5,5,5,4,5,6,5,6,7,7,7,7,7,7,2,1,2,1,1,1,2,4,4,2,2,2,2,1,3,5,7,3,2,6,6,1,1,630,1.04,10.5
"32",32,32,2,5,NA,5.16666666666667,2,40,3,0,1,1,5,1,1,1,4,4,3,3,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,5,5,5,4,4,2,4,2,2,5,4,2,2,1,1,1,5,1,1,1,3,1,1,680,0.87,11.3333333333333
"33",33,59,1,6,NA,38.25,2,35,4,0,1,3,5,2,5,2,2,2,4,5,5,5,5,4,5,6,5,4,3,4,4,3,4,4,3,3,3,4,4,4,7,7,7,7,7,7,7,3,1,1,1,2,1,1,2,1,1,1,1,1,3,6,2,4,7,3,6,7,1,1,504,1.02,8.4
"34",34,31,2,5,NA,10.6666666666667,2,25,2,0,2,5,6,1,6,2,2,2,2,4,4,4,4,4,6,6,6,5,6,6,6,6,5,5,5,6,6,5,5,5,6,7,7,7,7,7,7,4,2,3,2,1,2,2,2,2,1,3,2,1,2,3,3,5,5,1,6,5,1,1,619,1.1,10.3166666666667
"35",35,26,2,6,NA,3.25,2,41,3,0,2,6,5,2,7,7,3,3,5,5,4,5,5,5,6,7,7,5,6,5,7,3,6,6,5,7,7,7,6,6,7,7,6,7,7,7,6,1,1,3,2,1,1,1,3,2,1,2,2,1,2,7,7,7,6,5,7,6,1,1,366,1.71,6.1
"36",36,53,2,3,NA,33,2,30,2,0,1,5,6,5,3,3,5,5,5,4,4,4,4,3,5,5,4,3,5,5,5,3,4,6,5,6,5,5,5,5,3,5,5,3,3,5,5,2,1,3,1,3,2,2,1,3,2,4,1,1,2,6,4,5,6,3,5,3,1,1,916,0.61,15.2666666666667
"37",37,53,2,5,NA,15,2,39,3,0,1,6,6,4,6,5,6,5,4,3,2,3,4,2,4,2,3,1,3,1,7,7,2,2,3,6,4,2,4,4,3,5,3,3,2,5,5,3,1,4,1,2,1,4,3,2,2,2,2,1,2,3,2,1,3,1,6,5,1,1,1005,0.52,16.75
"38",38,55,1,2,NA,9,2,15,2,1,1,1,3,3,3,1,1,2,1,3,3,3,2,2,3,5,5,3,4,3,5,4,3,3,4,4,3,4,3,3,3,4,4,5,4,5,4,1,2,4,2,3,3,4,1,1,4,2,2,1,2,3,3,3,3,3,7,3,1,1,932,0.88,15.5333333333333
"39",39,27,2,6,NA,1.66666666666667,2,40,4,0,1,1,2,3,1,2,5,4,1,3,4,4,3,3,6,6,7,5,5,5,7,6,4,4,5,5,6,6,6,6,5,7,5,4,5,5,5,3,2,2,3,5,2,2,1,4,2,3,4,2,4,6,4,1,1,4,7,5,1,1,577,1.1,9.61666666666667
"40",40,23,1,6,NA,3.83333333333333,2,30,2,0,1,5,5,3,6,1,3,5,5,5,5,5,5,5,6,6,5,6,7,5,7,6,6,7,7,7,6,7,7,7,6,4,6,4,6,6,7,5,2,2,1,2,1,2,3,3,1,2,1,2,2,2,7,7,7,4,7,7,1,1,798,0.69,13.3
"41",41,26,2,6,NA,0.666666666666667,1,39,3,0,2,5,6,3,5,3,5,3,1,4,4,2,3,4,6,5,6,5,5,6,6,5,6,5,5,5,5,5,5,5,6,6,5,5,6,6,6,3,1,2,2,1,2,2,2,2,2,2,5,2,1,6,5,7,5,6,6,6,1,1,452,1.21,7.53333333333333
"42",42,23,2,6,NA,1.66666666666667,1,20,2,0,4,2,3,6,2,4,4,5,3,4,4,5,4,3,5,4,5,3,5,5,6,5,2,3,4,3,5,4,6,2,4,6,7,4,6,7,4,4,2,4,2,2,2,4,4,2,3,3,4,2,3,2,3,2,1,3,5,5,1,1,496,1.21,8.26666666666667
